candidate,before,perc_after_first,perc_after_second
Joe Biden,38.5,33.7,31
Bernie Sanders,16.3,17.8,16.8
Elizabeth Warren,12.7,17.7,14.4
Kamala Harris,7.9,6.6,16.8
Pete Puttigieg,6.9,4.8,5.9
Cory Booker,2.8,3.6,2.5
Beto Oâ€™Rourke,3.9,3.1,2.1
Julian Castro,0.6,2.5,1.7
Andrew Yang,1,1.3,0.8
Amy Klobuchar,0.2,0.9,0.6
Tulsi Gabbard,0.6,0.7,0.6
Kirsten Gillibrand,0.8,0.7,0.5
Tim Ryan,0.2,0.7,0.3
John Delaney,0.2,0.6,0.4
John Hickenlooper,0.4,0.4,0.4
Bill de Blasio,0,0.6,0.2
Michael Bennet,0.2,0.3,0.5
Jay Inslee,0.5,0.6,0.2
Eric Swalwell,0.2,0.1,0.1
Marianne Williamson,0.1,0,0.1
